learner_id;country;in_course;unit;avg_score;completion;inv_rate
1370385;TR;t;9;0.448;0.524;0
1370382;TR;t;7;0.878;0.316;0
1370382;TR;t;8;0.967;0.15;0
1370382;TR;t;9;0.791;0.571;0
1370381;TR;t;1;0.876;0.6;0
1370381;TR;t;7;0.936;0.474;0
1370381;TR;t;8;0.933;0.15;0
1370381;TR;t;9;0.728;0.524;0
1370379;ES;f;1;0.747;1;0
1370379;ES;f;2;0.837;1;0
1370378;TR;t;1;0.908;0.6;0
1370378;TR;t;7;0.886;0.474;0
1370378;TR;t;8;0.878;0.2;0
1370377;TR;t;4;0.528;0.19;0
1370376;TR;t;1;0.68;0.25;0
1370376;TR;t;7;0.233;0.211;0
1370376;TR;t;8;0.712;0.15;0
1370376;TR;t;9;0.666;0.667;0
1370372;TR;t;1;0.563;0.35;0
1370371;TR;t;1;1;0.1;0
1370371;TR;t;2;0.772;0.154;0
1370371;TR;t;3;0.933;0.13;0
1370371;TR;t;4;0.804;0.19;0
1370371;TR;t;7;0.892;0.211;0
1370370;TR;t;1;0.671;0.35;0
1370370;TR;t;7;0.499;0.211;0
1370370;TR;t;8;0.618;0.15;0
1370370;TR;t;9;0.468;0.619;0
1370369;TR;t;2;0.723;0.192;0
1370368;TR;t;1;0.948;0.5;0
1370368;TR;t;7;0.828;0.895;0
1370368;TR;t;8;0.834;0.95;0
1370368;TR;t;9;0.846;0.81;0
1370368;TR;t;10;0.926;0.381;0
1370367;TR;t;1;0.675;0.35;0
1370367;TR;t;7;0.75;0.105;0
1370367;TR;t;8;0.686;0.25;0
1370367;TR;t;9;0.306;0.286;0
1370365;TR;t;1;0.664;0.75;0
1370365;TR;t;7;0.879;0.158;0
1370365;TR;t;8;0.664;0.55;0
1370364;TR;t;1;0.891;0.4;0
1370364;TR;t;7;0.952;0.211;0
1370364;TR;t;8;0.76;0.3;0
1370364;TR;t;9;0.846;0.238;0
1370363;TR;t;1;1;0.1;0
1370363;TR;t;8;1;0.1;0
1370363;TR;t;VIDEO PODCASTS;0.571;0.025;0
1370362;TR;t;6;0.229;0.143;0
1370362;TR;t;7;0.56;0.158;0
1370361;TR;t;1;0.844;0.2;0
1370361;TR;t;7;0.603;0.263;0
1370361;TR;t;8;0.739;0.15;0
1370361;TR;t;9;0.577;0.571;0
1370360;TR;t;7;0.848;0.474;0
1370360;TR;t;8;0.941;0.25;0
1370360;TR;t;9;0.887;0.667;0
1370358;TR;t;1;0.82;0.5;0
1370358;TR;t;7;0.796;0.474;0
1370358;TR;t;8;0.911;0.2;0
1370358;TR;t;9;0.806;0.762;0
1370355;TR;t;1;0.931;0.95;0
1370355;TR;t;2;0.946;0.5;0
1370355;TR;t;7;0.821;0.684;0
1370355;TR;t;8;0.816;0.4;0
1370355;TR;t;9;0.895;0.81;0
1370355;TR;t;10;0.929;0.381;0
1370302;ES;f;2;0.698;1;0
1370197;CO;t;1;1;0.1;0
1370134;TR;f;2;0.56;1;0
1370132;CO;t;2;0.771;1;0
1370132;CO;t;3;0.747;0.217;0
1370071;ES;t;1;1;0.1;0
1370007;ES;t;2;0.21;1;0
1370007;ES;t;3;0.119;1;0
1369950;TR;t;1;0.915;0.35;0
1369950;TR;t;8;0.891;0.2;0
1369930;TR;t;1;0.69;0.25;0
1369930;TR;t;8;0.568;0.3;0
1369930;TR;t;9;0.698;0.143;0
1369927;TR;t;1;0.783;0.9;0
1369927;TR;t;8;0.572;0.5;0
1369927;TR;t;9;0.595;0.238;0
1369926;TR;t;1;0.7;0.1;0
1369926;TR;t;7;0.626;0.211;0
1369926;TR;t;8;0.76;0.2;0
1369922;ES;t;2;0.721;1;0
1369842;ES;t;1;0.547;0.9;0
1369842;ES;t;2;0.631;0.5;0
1369499;ES;t;1;0.673;1;0
1369499;ES;t;2;0.878;1;0
1369494;ES;t;1;0.74;0.3;0
1369494;ES;t;2;1;0.077;0
1369492;ES;t;1;0.78;0.95;0
1369490;ES;t;2;0.535;1;0
1369465;UA;t;2;0.746;1;0
1369465;UA;t;6;0.692;1;0
1369465;UA;t;VIDEO PODCASTS;0.571;0.025;0
1369429;ES;f;1;0.595;1;0
1369429;ES;f;2;0.669;1;0
1369387;TR;t;REVIEW 1;0.779;0.462;0
1369281;CO;t;9;0.915;0.238;0
1369257;CO;t;2;0.909;1;0
1369183;CO;t;1;0.489;0.95;0
1369182;CO;t;1;0.722;0.2;0
1369180;CO;t;1;0.655;0.9;0
1369180;CO;t;2;0.725;0.731;0
1369180;CO;t;3;0.641;0.261;0
1369003;CO;t;1;0.712;0.35;0
1368897;ES;t;2;0.84;1;0
1368867;CO;t;1;0.577;0.7;0
1368855;CO;t;1;0.813;0.8;0
1368844;CO;t;1;0.704;0.8;0
1368767;NL;f;1;0.923;0.85;0
1368767;NL;f;2;0.753;0.231;0
1368738;CO;t;2;0.773;0.269;0
1368526;NL;t;1;0.672;0.7;0
1368512;NL;t;1;0.667;0.4;0
1368418;NL;t;3;0.717;1;0
1368418;NL;t;3;0.633;0.769;0
1368403;TR;f;3;0.733;0.15;0
1368382;ES;t;3;0.652;0.8;0
1368382;ES;t;3;0.542;0.154;0
1368370;NL;t;3;0.596;1;0
1368306;TR;t;3;0.714;0.35;0
1368271;CO;f;3;0.8;0.25;0
1368242;CO;t;3;0.523;1;0
1368242;CO;t;3;0.322;0.609;0
1368242;CO;t;3;0.353;0.571;0
1368242;CO;t;3;0.45;0.217;0
1368235;AU;t;3;0.581;0.423;0
1368235;AU;t;3;0.446;1;0
1368235;AU;t;3;0.474;1;0
1368235;AU;t;5;0.604;0.783;0
1368234;AU;t;REVIEW 1;0.545;0.923;0
1368234;AU;t;4;0.632;0.286;0
1368215;AU;t;3;0.598;1;0
1368215;AU;t;4;0.757;1;0
1368215;AU;t;5;0.7;0.957;0
1368213;AU;t;1;0.859;0.85;0
1368213;AU;t;3;0.737;0.826;0
1368213;AU;t;5;0.63;0.913;0
1368213;AU;t;6;0.811;0.381;0
1368211;AU;t;1;0.73;0.35;0
1368211;AU;t;2;0.67;0.231;0
1368211;AU;t;5;0.692;0.652;0
1368208;AU;t;2;0.908;0.231;0
1368208;AU;t;4;0.633;1;0
1368208;AU;t;5;0.656;0.435;0
1368208;AU;t;VIDEO PODCASTS;0.73;0.075;0
1368207;AU;t;3;0.753;0.348;0
1368207;AU;t;4;0.778;0.524;0
1368199;AU;t;2;0.846;0.154;0
1368199;AU;t;4;0.725;0.19;0
1368187;AU;t;1;0.884;0.2;0
1368187;AU;t;REVIEW 1;0.76;1;0
1368187;AU;t;5;0.69;0.652;0
1368187;AU;t;6;0.757;0.381;0
1368182;CO;t;1;0.916;0.75;0
1368182;CO;t;2;0.794;0.462;0
1368178;AU;t;1;1;0.15;0
1368178;AU;t;3;0.833;0.957;0
1368178;AU;t;4;0.773;0.619;0
1368178;AU;t;5;0.737;0.783;0
1368173;CO;f;1;0.867;0.15;0
1368171;AU;t;4;0.95;0.238;0
1368171;AU;t;5;0.676;0.957;0
1368171;AU;t;6;0.983;0.143;0
1368166;AU;t;4;0.372;0.905;0
1368166;AU;t;5;0.419;0.739;0
1368166;AU;t;6;0.293;0.238;0
1368162;AU;t;REVIEW 1;0.568;1;0
1368162;AU;t;5;0.569;0.783;0
1368158;AU;t;3;0.638;1;0
1368158;AU;t;REVIEW 1;0.879;0.692;0
1368155;AU;t;3;0.558;1;0
1368155;AU;t;4;0.771;0.524;0
1368155;AU;t;5;0.811;0.435;0
1368153;AU;t;3;0.711;1;0
1368153;AU;t;REVIEW 1;0.704;1;0
1368153;AU;t;4;0.694;0.667;0
1368153;AU;t;5;0.406;0.435;0
1368153;AU;t;6;0.536;0.381;0
1368150;AU;t;1;1;0.1;0
1368150;AU;t;3;0.596;1;0
1368150;AU;t;4;0.383;0.952;0
1368150;AU;t;5;0.438;0.174;0
1368148;AU;t;REVIEW 1;0.776;1;0
1368148;AU;t;4;0.786;1;0
1368148;AU;t;5;0.672;0.435;0
1368145;AU;t;1;1;0.15;0
1368145;AU;t;3;0.733;1;0
1368139;AU;t;3;0.869;1;0
1368139;AU;t;REVIEW 1;0.854;1;0
1368139;AU;t;4;0.833;1;0
1368139;AU;t;5;0.791;0.783;0
1368139;AU;t;6;0.737;0.381;0
1368137;AU;t;REVIEW 1;0.644;0.846;0
1368126;AU;t;1;0.717;1;0
1368126;AU;t;2;0.617;1;0
1368126;AU;t;3;0.46;0.391;0
1368126;AU;t;5;0.69;0.957;0
1368118;AU;t;4;0.821;0.429;0
1368118;AU;t;5;0.84;0.261;0
1368116;AU;t;1;0.575;1;0
1368116;AU;t;2;0.651;1;0
1368116;AU;t;3;0.66;1;0
1368116;AU;t;REVIEW 1;0.763;1;0
1368116;AU;t;4;0.586;1;0
1368116;AU;t;5;0.696;0.957;0
1368113;AU;t;1;0.719;1;0
1368113;AU;t;3;0.739;0.957;0
1368113;AU;t;REVIEW 1;0.848;1;0
1368113;AU;t;4;0.637;1;0
1368113;AU;t;5;0.642;0.957;0
1368109;AU;t;1;0.799;1;0
1368104;AU;t;2;0.705;1;0
1368104;AU;t;3;0.713;0.391;0
1368088;AU;t;1;0.833;0.15;0
1368088;AU;t;3;0.774;0.913;0
1368088;AU;t;REVIEW 1;0.778;0.231;0
1368088;AU;t;5;0.803;0.783;0
1368044;CO;t;1;0.682;0.3;0
1368042;CO;f;8;0.538;0.95;0
1368019;AU;t;2;0.672;0.423;0
1368019;AU;t;3;0.611;1;0
1368019;AU;t;4;0.57;0.476;0
1367982;AU;t;5;0.773;0.783;0
1367864;TR;t;1;0.861;1;0
1367864;TR;t;2;0.794;1;0
1367864;TR;t;3;0.903;1;0
1367864;TR;t;REVIEW 1;0.913;1;0
1367860;CO;t;1;0.585;0.5;0
1367859;CO;t;1;0.94;0.25;0
1367851;CO;t;1;0.784;0.75;0
1367851;CO;t;2;0.774;0.654;0
1367848;CO;t;1;0.584;0.5;0
1367834;ES;t;1;0.708;1;0
1367834;ES;t;2;0.604;1;0
1367834;ES;t;3;0.556;0.174;0
1367830;CO;t;2;0.417;0.077;0
1367830;CO;t;VIDEO PODCASTS;0.375;0.025;0
1367829;CO;t;1;0.619;0.4;0
1367828;CO;t;1;0.41;0.7;0
1367823;CO;t;1;0.974;0.7;0
1367823;CO;t;2;0.857;0.615;0
1367620;CO;t;1;0.841;0.8;0
1367620;CO;t;2;0.702;1;0
1367620;CO;t;3;0.719;0.696;0
1367620;CO;t;4;0.7;0.333;0
1367594;CO;t;1;0.853;0.55;0
1367594;CO;t;2;0.667;0.115;0
1367570;CO;t;1;0.738;0.25;0
1367569;CO;t;1;0.9;0.15;0
1367565;CO;t;1;0.10;0.15;0
1367564;CO;t;1;0.11;0.15;0
1367557;CO;t;1;0.13;0.25;0
1367540;CO;t;1;0.798;0.4;0
1367537;CO;t;1;0.837;0.4;0
1367536;CO;t;1;0.708;0.15;0
1367446;CO;t;2;0.765;0.462;0
1367299;ES;t;1;0.766;1;0
1367299;ES;t;2;0.767;1;0
1367290;ES;t;1;0.768;1;0
1367290;ES;t;2;0.769;1;0
1367290;ES;t;3;0.770;1;0
1367288;PL;t;4;0.771;0.952;0
1367288;PL;t;5;0.772;0.957;0
1367288;PL;t;6;0.765;0.952;0
1367277;ES;t;1;0.941;1;0
1367275;NL;f;1;0.682;1;0
1367199;ES;t;1;0.785;1;0
1367199;ES;t;2;0.967;1;0
1367045;NL;t;3;0.866;0.217;0
1367006;CO;t;1;0.8;0.15;0
1367000;CO;t;1;0.6;0.2;0
1366998;CO;t;4;0.59;0.571;0
1366998;CO;t;5;0.664;0.435;0
1366941;CO;f;5;0.768;0.348;0
1366856;CO;t;1;0.8;1;0
1366830;CO;t;1;0.9;0.2;0
1366809;CO;t;1;0.66;0.45;0
1366798;CO;f;1;0.723;0.1;0
1366798;CO;f;3;0.615;0.304;0
1366719;CO;f;1;0.505;0.1;0
1366718;AS;t;1;0.776;1;0
1366718;AS;t;2;0.777;1;0
1366718;AS;t;3;0.539;1;0
1366575;CO;t;1;0.967;0.15;0
1366573;PL;t;1;0.967;0.15;0
1366552;ES;t;1;0.709;1;0
1366552;ES;t;2;0.46;1;0
1366552;ES;t;3;0.222;0.348;0
1366549;ES;f;1;0.611;0.95;0
1366527;CO;f;2;0.773;0.231;0
1366526;ES;f;2;0.775;1;0
1366523;CO;t;1;0.655;0.45;0
1366507;TR;t;1;0.46;0.15;0
1366495;ES;t;2;0.736;0.962;0
1366383;ES;t;1;0.882;1;0
1366383;ES;t;2;3;1;0
1366383;ES;t;3;0.755;0.478;0
1366341;CO;t;1;0.659;0.1;0
1366320;CO;f;1;0.529;0.1;0
1366278;CO;t;3;0.571;1;0
1366278;CO;t;REVIEW 1;0.674;1;0
1366278;CO;t;4;0.46;0.762;0
1365913;TR;f;1;0.736;1;0
1365864;TR;f;REVIEW 1;0.882;0.462;0
1365864;TR;f;9;1;0.095;0
1365700;CO;t;7;0.755;0.947;0
1365700;CO;t;8;0.659;0.55;0
1365700;CO;t;9;0.529;0.714;0
1365700;CO;t;REVIEW 3;0.915;0.538;0
1365694;CO;f;1;0.677;0.25;0
1365491;CO;t;1;0.63;1;0
1365491;CO;t;2;0.613;0.308;0
1365464;ES;t;1;0.801;1;0
1365464;ES;t;2;0.88;1;0
1365379;CO;t;1;1;0.1;0
1365379;CO;t;3;0.333;0.087;0
1365379;CO;t;VIDEO PODCASTS;0.944;0.075;0
1365185;CO;t;10;1;0.095;0
1365154;ES;t;1;0.922;1;0
1365154;ES;t;3;0.945;0.696;0
1365152;NL;f;1;0.866;1;0
1365049;ES;t;1;0.858;1;0
1365049;ES;t;2;0.875;1;0
1365024;TR;f;1;0.643;0.45;0
1364939;CO;f;1;0.755;1;0
1364939;CO;f;2;0.78;1;0
1364830;CO;t;1;0.806;0.8;0
1364802;CO;t;REVIEW 1;0.769;0.385;0
1364759;CO;f;1;0.524;0.5;0
1364759;CO;f;2;1;0.077;0
1364709;US;t;2;0.875;0.077;0
1364676;CO;f;1;0.722;0.35;0
1364676;CO;f;3;0.826;0.13;0
1364666;CZ;f;10;0.772;0.333;0
1364645;CO;t;1;0.571;0.55;0
1364629;ES;t;3;0.667;0.087;0
1364618;CO;t;2;0.597;1;0
1364618;CO;t;3;0.512;1;0
1364618;CO;t;REVIEW 1;0.413;0.615;0
1364614;TR;f;1;0.876;0.95;0
1364488;TR;f;1;1;0.1;0
1364447;ES;f;1;0.794;1;0
1364447;ES;f;2;0.888;1;0
1364446;ES;t;2;0.672;0.885;0
1364446;ES;t;3;0.708;0.696;0
1364434;CO;f;1;0.892;0.35;0
1364425;ES;t;1;0.934;1;0
1364372;CO;t;2;0.579;0.346;0
1364372;CO;t;3;0.617;0.304;0
1364328;TR;f;1;0.8;0.15;0
1364233;TR;f;7;1;0.105;0
1364218;NL;t;1;1;0.1;0
1364217;ES;t;1;0.939;1;0
1364217;ES;t;2;0.877;1;0
1364217;ES;t;3;0.85;1;0
1364217;ES;t;REVIEW 1;0.851;1;0
1364217;ES;t;4;0.858;1;0
1364217;ES;t;5;0.829;0.957;0
1364217;ES;t;6;0.869;1;0
1364217;ES;t;REVIEW 2;0.911;1;0
1364121;CO;t;1;1;0.1;0
1363944;CO;t;8;0.804;0.4;0
1363944;CO;t;REVIEW 3;0.681;0.462;0
1363918;CO;t;1;0.84;1;0
1363918;CO;t;2;0.707;0.192;0
1363915;CO;t;1;0.851;0.95;0
1363517;CO;t;3;0.714;0.087;0
1363515;CO;f;1;0.815;0.65;0
1363481;AO;f;1;0.9;0.15;0
1363458;ES;t;1;0.844;1;0
1363458;ES;t;2;0.785;1;0
1363253;CO;f;1;0.933;0.15;0
1363253;CO;f;3;0.222;0.087;0
1363253;CO;f;4;0.594;0.238;0
1363205;TR;f;1;0.833;0.15;0
1363168;CO;t;1;0.773;0.25;0
1363168;CO;t;4;0.699;0.19;0
1363167;CO;f;1;0.624;0.35;0
1363167;CO;f;2;0.201;0.154;0
1363126;CO;t;1;0.782;1;0
1363126;CO;t;3;0.876;1;0
1363095;CO;t;1;0.86;0.95;0
1363095;CO;t;2;0.826;0.654;0
1363035;ES;f;1;0.584;0.3;0
1362992;FR;t;1;0.766;1;0
1362992;FR;t;3;0.8;0.391;0
1362981;RU;t;3;0.866;0.348;0
1362907;ES;t;1;0.374;1;0
1362907;ES;t;2;0.3;1;0
1362907;ES;t;3;0.168;0.348;0
1362804;CO;f;1;1;0.1;0
1362790;CO;t;1;0.641;0.55;0
1362790;CO;t;2;0.579;0.308;0
1362790;CO;t;3;0.6;0.087;0
1362780;CO;t;3;0.857;0.087;0
1362741;CO;f;2;0.736;0.269;0
1362741;CO;f;3;0.754;0.391;0
1362741;CO;f;REVIEW 1;0.67;0.692;0
1362741;CO;f;4;0;0.095;0
1362733;CO;t;4;0.58;0.238;0
1362714;CO;t;1;0.666;0.85;0
